Accuracy,F1,Precision,Recall
0.85,0.6441,0.7037,0.5938
0.9071,0.7111,0.7619,0.6667
0.8714,0.625,0.6,0.6522
0.8286,0.6129,0.6333,0.5938
0.9,0.75,0.84,0.6774
0.85,0.6557,0.6897,0.625
0.8071,0.4706,0.5455,0.4138
0.8071,0.5574,0.6538,0.4857
0.7929,0.4082,0.5,0.3448
0.9,0.7083,0.7391,0.68
0.8929,0.7368,0.8077,0.6774
0.8429,0.6071,0.7083,0.5312
0.8929,0.6809,0.7619,0.6154
0.7929,0.5085,0.5556,0.4688
0.7929,0.5797,0.6667,0.5128
0.8,0.5758,0.6333,0.5278
0.8214,0.5902,0.6667,0.5294
0.7857,0.4828,0.56,0.4242
0.8357,0.623,0.5588,0.7037
0.8071,0.6087,0.75,0.5122
0.7857,0.4444,0.48,0.4138
0.8143,0.5517,0.6957,0.4571
0.8643,0.6415,0.6296,0.6538
0.8214,0.6269,0.7,0.5676
0.8714,0.6667,0.7826,0.5806
0.85,0.5882,0.6522,0.5357
0.85,0.6667,0.6774,0.6562
0.8143,0.6061,0.7692,0.5
0.8786,0.7018,0.8696,0.5882
0.8571,0.6667,0.8,0.5714
0.85,0.6316,0.6923,0.5806
0.9071,0.7111,0.6957,0.7273
0.8857,0.68,0.7727,0.6071
0.8857,0.6923,0.6923,0.6923
0.85,0.6182,0.6538,0.5862
0.8429,0.6667,0.6667,0.6667
0.8857,0.6667,0.6957,0.64
0.85,0.4878,0.5,0.4762
0.8643,0.5128,0.625,0.4348
0.8571,0.6552,0.7917,0.5588
0.8643,0.6122,0.6522,0.5769
0.8643,0.6885,0.7,0.6774
0.8214,0.5614,0.5926,0.5333
0.8929,0.7368,0.7241,0.75
0.8286,0.5556,0.6818,0.4688
0.8786,0.6792,0.9,0.5455
0.85,0.5532,0.7647,0.4333
0.8286,0.6,0.7826,0.4865
0.8643,0.7397,0.7297,0.75
0.8571,0.5455,0.6,0.5
0.8571,0.6774,0.7241,0.6364
0.8643,0.5778,0.6842,0.5
0.8286,0.6129,0.6129,0.6129
0.8714,0.7097,0.8148,0.6286
0.8357,0.566,0.625,0.5172
0.8286,0.5862,0.68,0.5152
0.8286,0.5714,0.6667,0.5
0.8429,0.5417,0.7222,0.4333
0.8429,0.45,0.5,0.4091
0.8357,0.566,0.625,0.5172
0.8214,0.5455,0.7143,0.4412
0.85,0.5116,0.6471,0.4231
0.8857,0.6667,0.64,0.6957
0.8571,0.6,0.6,0.6
0.8286,0.5862,0.6296,0.5484
0.8,0.4615,0.6,0.375
0.8,0.4815,0.5909,0.4062
0.8429,0.5417,0.6842,0.4483
0.8071,0.6087,0.6562,0.5676
0.8143,0.6176,0.5833,0.6562
0.8429,0.6207,0.6429,0.6
0.8714,0.6087,0.6364,0.5833
0.8786,0.6667,0.7727,0.5862
0.8071,0.5263,0.5769,0.4839
0.85,0.6316,0.6923,0.5806
0.8643,0.6667,0.6333,0.7037
0.85,0.5333,0.6,0.48
0.8143,0.4583,0.5,0.4231
0.8571,0.5833,0.6667,0.5185
0.85,0.6038,0.7273,0.5161
0.8714,0.625,0.8333,0.5
0.8429,0.5769,0.6522,0.5172
0.8143,0.5938,0.6333,0.5588
0.8429,0.56,0.7,0.4667
0.8286,0.5862,0.5862,0.5862
0.7857,0.4643,0.5,0.4333
0.8286,0.6,0.7826,0.4865
0.8214,0.5614,0.5333,0.5926
0.8857,0.6923,0.7826,0.6207
0.8786,0.6667,0.8095,0.5667
0.8357,0.566,0.625,0.5172
0.9071,0.7347,0.9,0.6207
0.8714,0.6087,0.5185,0.7368
0.8571,0.6552,0.6333,0.6786
0.8714,0.6087,0.6087,0.6087
0.8643,0.6885,0.7778,0.6176
0.8071,0.4906,0.65,0.3939
0.8429,0.6452,0.8,0.5405
0.8714,0.625,0.7143,0.5556
0.8714,0.64,0.8,0.5333
