Accuracy,F1,Precision,Recall
0.8571,0.6667,0.7143,0.625
0.8714,0.64,0.6154,0.6667
0.8929,0.6667,0.6818,0.6522
0.8357,0.6102,0.6667,0.5625
0.9,0.75,0.84,0.6774
0.85,0.6441,0.7037,0.5938
0.8,0.4815,0.52,0.4483
0.8357,0.6349,0.7143,0.5714
0.8071,0.4706,0.5455,0.4138
0.8857,0.68,0.68,0.68
0.8857,0.7143,0.8,0.6452
0.8286,0.5556,0.6818,0.4688
0.8786,0.6383,0.7143,0.5769
0.8143,0.5938,0.5938,0.5938
0.7929,0.5672,0.6786,0.4872
0.8071,0.6197,0.6286,0.6111
0.8571,0.6667,0.7692,0.5882
0.8,0.5484,0.5862,0.5152
0.8429,0.6333,0.5758,0.7037
0.85,0.7042,0.8333,0.6098
0.7786,0.4746,0.4667,0.4828
0.8357,0.6102,0.75,0.5143
0.8714,0.6538,0.6538,0.6538
0.8214,0.6032,0.7308,0.5135
0.8643,0.6545,0.75,0.5806
0.8643,0.5957,0.7368,0.5
0.8571,0.6667,0.7143,0.625
0.8357,0.6849,0.7576,0.625
0.8429,0.6333,0.7308,0.5588
0.8643,0.6667,0.8636,0.5429
0.8571,0.6296,0.7391,0.5484
0.9071,0.7111,0.6957,0.7273
0.9071,0.6977,1.0,0.5357
0.8857,0.68,0.7083,0.6538
0.8571,0.6429,0.6667,0.6207
0.8714,0.6897,0.8,0.6061
0.9143,0.7273,0.8421,0.64
0.8571,0.4444,0.5333,0.381
0.8643,0.5366,0.6111,0.4783
0.8429,0.6452,0.7143,0.5882
0.85,0.5532,0.619,0.5
0.8643,0.6667,0.7308,0.6129
0.8571,0.6429,0.6923,0.6
0.8929,0.7458,0.7097,0.7857
0.8429,0.5769,0.75,0.4688
0.8643,0.6545,0.8182,0.5455
0.85,0.5333,0.8,0.4
0.8214,0.6154,0.7143,0.5405
0.8643,0.7397,0.7297,0.75
0.8643,0.5778,0.619,0.5417
0.8643,0.6885,0.75,0.6364
0.8786,0.6531,0.6957,0.6154
0.85,0.6667,0.6562,0.6774
0.8786,0.7302,0.8214,0.6571
0.8429,0.5769,0.6522,0.5172
0.8429,0.6207,0.72,0.5455
0.85,0.5882,0.7895,0.4688
0.85,0.5532,0.7647,0.4333
0.8571,0.4737,0.5625,0.4091
0.8643,0.6415,0.7083,0.5862
0.8357,0.5965,0.7391,0.5
0.8429,0.45,0.6429,0.3462
0.8857,0.6522,0.6522,0.6522
0.8714,0.625,0.6522,0.6
0.8429,0.6333,0.6552,0.6129
0.8214,0.5283,0.6667,0.4375
0.7929,0.4912,0.56,0.4375
0.8571,0.6154,0.6957,0.5517
0.7857,0.5312,0.6296,0.4595
0.8286,0.6471,0.6111,0.6875
0.85,0.6182,0.68,0.5667
0.9143,0.7391,0.7727,0.7083
0.8929,0.717,0.7917,0.6552
0.8571,0.6429,0.72,0.5806
0.8571,0.6429,0.72,0.5806
0.8929,0.6939,0.7727,0.6296
0.8429,0.5417,0.5652,0.52
0.8143,0.4583,0.5,0.4231
0.8643,0.5957,0.7,0.5185
0.8429,0.5926,0.6957,0.5161
0.8714,0.625,0.8333,0.5
0.8214,0.5283,0.5833,0.4828
0.8429,0.6452,0.7143,0.5882
0.85,0.5714,0.7368,0.4667
0.8357,0.5306,0.65,0.4483
0.8214,0.5098,0.619,0.4333
0.85,0.6182,0.9444,0.4595
0.8429,0.6207,0.5806,0.6667
0.8857,0.7037,0.76,0.6552
0.8786,0.6667,0.8095,0.5667
0.8643,0.6415,0.7083,0.5862
0.9143,0.75,0.9474,0.6207
0.8857,0.6,0.5714,0.6316
0.85,0.6441,0.6129,0.6786
0.8857,0.619,0.6842,0.5652
0.8714,0.7,0.8077,0.6176
0.8214,0.5283,0.7,0.4242
0.8357,0.623,0.7917,0.5135
0.8786,0.6667,0.7083,0.6296
0.8786,0.6792,0.7826,0.6
