Accuracy,F1,Precision,Recall
0.9403,0.9259,0.8929,0.9615
0.9104,0.9167,0.9167,0.9167
0.9254,0.9123,0.8966,0.9286
0.9104,0.9091,0.9375,0.8824
0.9104,0.9231,0.9,0.9474
0.8955,0.9067,0.85,0.9714
0.8657,0.8571,0.8438,0.871
0.9104,0.8929,0.9259,0.8621
0.8657,0.8475,0.8621,0.8333
0.8806,0.875,0.9333,0.8235
0.9254,0.9333,0.9459,0.9211
0.8955,0.9041,0.9429,0.8684
0.8657,0.8696,0.8824,0.8571
0.9254,0.9275,0.8889,0.9697
0.9403,0.9444,0.9714,0.9189
0.9552,0.9524,0.9375,0.9677
0.9104,0.8966,0.9286,0.8667
0.8955,0.8889,0.875,0.9032
0.9254,0.9398,0.975,0.907
0.9552,0.9474,0.9,1.0
0.8955,0.9014,0.8421,0.9697
0.8806,0.8947,0.9444,0.85
0.9403,0.9394,0.9394,0.9394
0.8955,0.9157,0.9048,0.9268
0.8209,0.8125,0.8387,0.7879
0.8806,0.8947,0.8947,0.8947
0.8806,0.875,0.9032,0.8485
0.9552,0.96,0.9474,0.973
0.8955,0.8772,0.8929,0.8621
0.9403,0.9355,0.9355,0.9355
0.8806,0.8571,0.7742,0.96
0.9254,0.9254,0.9118,0.9394
0.9403,0.9394,0.9688,0.9118
0.9104,0.9032,0.8485,0.9655
0.9403,0.931,0.9,0.9643
0.9254,0.9333,0.9211,0.9459
0.9104,0.9211,1.0,0.8537
0.8657,0.8525,0.8387,0.8667
0.8806,0.8889,0.8649,0.9143
0.9104,0.9062,0.9062,0.9062
0.9403,0.9412,0.9143,0.9697
0.9254,0.9275,0.9697,0.8889
0.8955,0.8814,0.8966,0.8667
0.8657,0.8767,0.8889,0.8649
0.9254,0.9315,1.0,0.8718
0.8955,0.9114,0.9231,0.9
0.8507,0.8485,0.7778,0.9333
0.8806,0.875,0.9032,0.8485
0.9552,0.9508,0.9062,1.0
0.9701,0.973,0.973,0.973
0.8806,0.84,0.875,0.8077
0.9403,0.9355,0.9355,0.9355
0.8806,0.871,0.9,0.8438
0.8507,0.8485,0.9333,0.7778
0.8955,0.9157,0.95,0.8837
0.9552,0.9434,0.9615,0.9259
0.8806,0.8571,0.8276,0.8889
0.9254,0.9153,0.931,0.9
0.8955,0.8889,0.9333,0.8485
0.9851,0.9851,1.0,0.9706
0.9104,0.8889,0.8276,0.96
0.8806,0.8947,0.8095,1.0
0.9254,0.9206,0.9355,0.9062
0.9254,0.9206,0.8788,0.9667
0.9104,0.9143,0.9412,0.8889
0.9552,0.9474,0.931,0.9643
0.9254,0.9275,0.9697,0.8889
0.9104,0.9167,0.8919,0.9429
0.8955,0.8889,0.875,0.9032
0.9403,0.931,0.9,0.9643
0.9254,0.9254,0.9688,0.8857
0.9552,0.9474,0.9643,0.931
0.9104,0.9286,0.9286,0.9286
0.8955,0.8889,0.8485,0.9333
0.9104,0.9167,0.9429,0.8919
0.9254,0.9275,0.9697,0.8889
0.9552,0.9524,0.9375,0.9677
0.8209,0.8182,0.8182,0.8182
0.9104,0.9211,0.9722,0.875
0.9403,0.9375,0.9677,0.9091
0.9552,0.9524,0.9677,0.9375
0.8806,0.871,0.8438,0.9
0.9254,0.8936,0.84,0.9545
0.9552,0.9552,1.0,0.9143
0.9701,0.9714,0.9714,0.9714
0.9104,0.9062,0.8788,0.9355
0.8955,0.8986,0.8857,0.9118
0.8507,0.8611,0.8857,0.8378
0.8955,0.9014,0.8889,0.9143
0.9254,0.9333,0.8974,0.9722
0.9403,0.9429,0.9429,0.9429
0.8806,0.9024,0.8409,0.9737
0.8955,0.9091,0.8974,0.9211
0.9104,0.9167,0.8684,0.9706
0.9254,0.9254,0.9394,0.9118
0.9403,0.9355,0.8788,1.0
0.9851,0.9851,1.0,0.9706
0.8806,0.8919,0.8919,0.8919
0.9104,0.9091,0.9091,0.9091
0.9403,0.931,0.931,0.931
