Accuracy,F1,Precision,Recall
0.9969,0.9936,0.9904,0.9968
0.9938,0.9865,0.9898,0.9832
0.9977,0.9955,0.997,0.994
0.9915,0.9833,0.9938,0.9729
0.9923,0.9847,0.9938,0.9758
0.9923,0.9834,0.9933,0.9737
0.9985,0.9971,0.9971,0.9971
0.9954,0.9906,0.9937,0.9875
0.9946,0.9897,0.9853,0.9941
0.9946,0.988,0.9965,0.9795
0.9923,0.9841,0.9968,0.9718
0.9938,0.9885,0.9971,0.9801
0.9946,0.988,0.9965,0.9795
0.9954,0.9905,0.9905,0.9905
0.9938,0.9878,0.9878,0.9878
0.9969,0.9935,0.9967,0.9902
0.9915,0.9825,0.9968,0.9686
0.9931,0.9856,0.9968,0.9747
0.9969,0.9938,1.0,0.9877
0.9938,0.9872,0.9936,0.981
0.9938,0.9874,0.9968,0.9782
0.9923,0.985,1.0,0.9705
0.9931,0.9856,0.9872,0.9841
0.9962,0.9922,1.0,0.9846
0.9908,0.9812,0.9937,0.969
0.9962,0.9922,0.9969,0.9876
0.9931,0.9862,0.9938,0.9787
0.9931,0.9851,0.9933,0.977
0.9892,0.9781,0.9843,0.972
0.9962,0.9917,0.9967,0.9868
0.9923,0.9837,0.9934,0.9741
0.9954,0.9897,0.9931,0.9863
0.9969,0.9936,1.0,0.9873
0.9946,0.9891,0.9969,0.9814
0.9954,0.9903,0.9935,0.9871
0.9923,0.9843,1.0,0.969
0.9962,0.9923,1.0,0.9848
0.9954,0.9908,0.9908,0.9908
0.9946,0.9884,1.0,0.977
0.9938,0.9861,0.9965,0.9759
0.9946,0.989,0.9968,0.9812
0.99,0.9796,0.9905,0.9689
0.9938,0.9882,0.997,0.9795
0.9923,0.984,0.9968,0.9716
0.9977,0.9953,0.9969,0.9938
0.9931,0.9867,0.994,0.9794
0.9938,0.9871,1.0,0.9745
0.9946,0.9897,0.9941,0.9853
0.9946,0.989,0.9968,0.9814
0.9923,0.9849,1.0,0.9702
0.9954,0.9902,0.9934,0.987
0.9938,0.9866,0.9966,0.9768
0.9962,0.9921,0.9968,0.9874
0.9938,0.9874,0.9937,0.9812
0.9969,0.9938,0.9969,0.9907
0.9962,0.9923,0.9969,0.9877
0.9931,0.9843,0.993,0.9759
0.9969,0.994,1.0,0.988
0.9969,0.9942,0.9913,0.9971
0.9892,0.9765,0.9932,0.9604
0.9908,0.9795,0.9965,0.963
0.9915,0.9832,0.9908,0.9758
0.9962,0.9921,0.9905,0.9937
0.9915,0.9827,0.9968,0.969
0.9938,0.9881,1.0,0.9764
0.9938,0.988,0.997,0.9791
0.9954,0.9907,0.9938,0.9877
0.9931,0.986,0.9906,0.9814
0.9931,0.9855,1.0,0.9713
0.9938,0.9879,0.9939,0.982
0.9962,0.9915,0.9932,0.9898
0.9962,0.9924,0.9939,0.9909
0.9931,0.986,0.9875,0.9844
0.99,0.9801,0.9938,0.9668
0.9954,0.9908,0.9969,0.9847
0.9954,0.9904,1.0,0.9811
0.9977,0.9955,0.997,0.994
0.9931,0.986,0.9969,0.9754
0.9938,0.9878,0.9939,0.9818
0.9969,0.9935,0.9968,0.9904
0.9938,0.9878,0.9969,0.9788
0.9931,0.9854,0.9935,0.9775
0.9946,0.9894,0.997,0.982
0.9892,0.9791,0.9909,0.9676
0.9938,0.9873,1.0,0.975
0.9962,0.9925,0.997,0.988
0.9985,0.9968,0.9968,0.9968
0.9938,0.9883,0.997,0.9797
0.9969,0.9934,0.9967,0.9901
0.9962,0.9922,0.9937,0.9906
0.9908,0.9809,0.9935,0.9686
0.9954,0.9912,0.9912,0.9912
0.9931,0.9852,0.9901,0.9803
0.9931,0.9857,0.9968,0.9748
0.9946,0.9893,0.9969,0.9819
0.9931,0.9863,0.9939,0.9789
0.9938,0.9876,0.9938,0.9815
0.9969,0.994,0.994,0.994
0.9946,0.9887,0.9968,0.9808
0.9915,0.982,0.9967,0.9677
